Response,contrast,estimate,SE,df,t.ratio,p.value
root_fresh_weight_g,T3 - T4,-0.1066666666666668,0.4040132011044525,10,-0.2640177755951333,0.9987374024539447
root_dry_weight_g,T0 - T1,-0.2866666666666669,0.17347430165108996,10,-1.6525022089049335,0.5003207781309045
root_dry_weight_g,T0 - T2,-0.41333333333333333,0.17347430165108985,10,-2.3826776035373456,0.19713117714570416
root_dry_weight_g,T0 - T3,-0.7866666666666666,0.17347430165108987,10,-4.5347735035065595,0.00746803261600415
root_dry_weight_g,T0 - T4,-0.9133333333333333,0.17347430165108987,10,-5.2649488981389725,0.002611103717032104
root_dry_weight_g,T1 - T2,-0.12666666666666643,0.17347430165108993,10,-0.7301753946324107,0.9444418999657493
root_dry_weight_g,T1 - T3,-0.4999999999999997,0.1734743016510899,10,-2.882271294601625,0.09392925592507895
root_dry_weight_g,T1 - T4,-0.6266666666666665,0.17347430165108993,10,-3.6124466892340372,0.030360486965507638
root_dry_weight_g,T2 - T3,-0.3733333333333333,0.17347430165108987,10,-2.152095899969215,0.27154922701520023
root_dry_weight_g,T2 - T4,-0.5,0.1734743016510899,10,-2.882271294601627,0.09392925592507873
root_dry_weight_g,T3 - T4,-0.1266666666666667,0.1734743016510899,10,-0.7301753946324123,0.9444418999657489
pod_fresh_weight_g,T0 - T1,-8.966666666666677,0.9184528052957085,10,-9.762795230158545,1.527887581065368e-5
pod_fresh_weight_g,T0 - T2,-9.866666666666669,0.9184528052957079,10,-10.742704045081517,6.369082506063606e-6
pod_fresh_weight_g,T0 - T3,-7.800000000000004,0.918452805295708,10,-8.492543062665796,5.308452065710956e-5
pod_fresh_weight_g,T0 - T4,-13.800000000000004,0.918452805295708,10,-15.025268495485635,2.7471111430088513e-7
pod_fresh_weight_g,T1 - T2,-0.8999999999999915,0.9184528052957084,10,-0.9799088149229662,0.8583536677744003
pod_fresh_weight_g,T1 - T3,1.1666666666666732,0.9184528052957083,10,1.2702521674927534,0.7137340815422502
pod_fresh_weight_g,T1 - T4,-4.833333333333327,0.9184528052957083,10,-5.262473265327085,0.002620144995007845
pod_fresh_weight_g,T2 - T3,2.0666666666666647,0.918452805295708,10,2.25016098241572,0.2375088461923348
